indice;id_posto;id_combustivel;data_coleta;preco
1;1;1;07/09/2024;6.09
2;1;2;07/09/2024;6.19
3;1;3;07/09/2024;4.49
4;1;4;07/09/2024;5.99
5;1;1;08/09/2024;6.09
6;1;2;08/09/2024;6.19
7;1;3;08/09/2024;4.49
8;1;4;08/09/2024;5.99
9;1;1;09/09/2024;6.09
10;1;2;09/09/2024;6.19
11;1;3;09/09/2024;4.49
12;1;4;09/09/2024;5.99
13;1;1;10/09/2024;6.09
14;1;2;10/09/2024;6.19
15;1;3;10/09/2024;4.49
16;1;4;10/09/2024;5.99
17;1;1;11/09/2024;6.09
18;1;2;11/09/2024;6.19
19;1;3;11/09/2024;4.49
20;1;4;11/09/2024;5.99
21;1;1;12/09/2024;6.09
22;1;2;12/09/2024;6.19
23;1;3;12/09/2024;4.49
24;1;4;12/09/2024;5.99
25;1;1;13/09/2024;6.09
26;1;2;13/09/2024;6.19
27;1;3;13/09/2024;4.49
28;1;4;13/09/2024;5.99
29;1;1;14/09/2024;6.09
30;1;2;14/09/2024;6.19
31;1;3;14/09/2024;4.49
32;1;4;14/09/2024;5.99
33;1;1;15/09/2024;6.09
34;1;2;15/09/2024;6.19
35;1;3;15/09/2024;4.49
36;1;4;15/09/2024;5.99
37;1;1;16/09/2024;6.09
38;1;2;16/09/2024;6.19
39;1;3;16/09/2024;4.49
40;1;4;16/09/2024;5.99
41;2;1;07/09/2024;5.69
42;2;2;07/09/2024;5.79
43;2;3;07/09/2024;4.29
44;2;4;07/09/2024;5.99
45;2;1;08/09/2024;5.69
46;2;2;08/09/2024;5.79
47;2;3;08/09/2024;4.29
48;2;4;08/09/2024;5.99
49;2;1;09/09/2024;5.69
50;2;2;09/09/2024;5.79
51;2;3;09/09/2024;4.29
52;2;4;09/09/2024;5.99
53;2;1;10/09/2024;5.69
54;2;2;10/09/2024;5.79
55;2;3;10/09/2024;4.29
56;2;4;10/09/2024;5.99
57;2;1;11/09/2024;5.69
58;2;2;11/09/2024;5.79
59;2;3;11/09/2024;4.29
60;2;4;11/09/2024;5.99
61;2;1;12/09/2024;5.69
62;2;2;12/09/2024;5.79
63;2;3;12/09/2024;4.29
64;2;4;12/09/2024;5.99
65;2;1;13/09/2024;5.69
66;2;2;13/09/2024;5.79
67;2;3;13/09/2024;4.29
68;2;4;13/09/2024;5.99
69;2;1;14/09/2024;5.99
70;2;2;14/09/2024;5.79
71;2;3;14/09/2024;4.59
72;2;4;14/09/2024;5.99
73;2;1;15/09/2024;5.99
74;2;2;15/09/2024;5.79
75;2;3;15/09/2024;4.59
76;2;4;15/09/2024;5.99
77;2;1;16/09/2024;5.99
78;2;2;16/09/2024;5.79
79;2;3;16/09/2024;4.59
80;2;4;16/09/2024;5.99
81;3;1;07/09/2024;6.09
82;3;2;07/09/2024;6.19
83;3;3;07/09/2024;4.82
84;3;4;07/09/2024;6.13
85;3;1;08/09/2024;6.09
86;3;2;08/09/2024;6.19
87;3;3;08/09/2024;4.82
88;3;4;08/09/2024;6.13
89;3;1;09/09/2024;6.09
90;3;2;09/09/2024;6.19
91;3;3;09/09/2024;4.82
92;3;4;09/09/2024;6.13
93;3;1;10/09/2024;6.09
94;3;2;10/09/2024;6.19
95;3;3;10/09/2024;4.82
96;3;4;10/09/2024;6.13
97;3;1;11/09/2024;6.09
98;3;2;11/09/2024;6.19
99;3;3;11/09/2024;4.82
100;3;4;11/09/2024;6.13
101;3;1;12/09/2024;6.09
102;3;2;12/09/2024;6.19
103;3;3;12/09/2024;4.82
104;3;4;12/09/2024;6.13
105;3;1;13/09/2024;6.09
106;3;2;13/09/2024;6.19
107;3;3;13/09/2024;4.82
108;3;4;14/09/2024;6.13
109;3;1;15/09/2024;6.09
110;3;2;15/09/2024;6.19
111;3;3;15/09/2024;4.82
112;3;4;15/09/2024;6.13
113;3;1;16/09/2024;6.09
114;3;2;16/09/2024;6.19
115;3;3;16/09/2024;4.82
116;3;4;16/09/2024;6.13
117;4;1;07/09/2024;5.95
118;4;2;07/09/2024;6.49
119;4;3;07/09/2024;4.29
120;4;4;07/09/2024;5.89
121;4;1;08/09/2024;5.95
122;4;2;08/09/2024;6.49
123;4;3;08/09/2024;4.29
124;4;4;08/09/2024;5.89
125;4;1;09/09/2024;5.95
126;4;2;09/09/2024;6.49
127;4;3;09/09/2024;4.29
128;4;4;09/09/2024;5.89
129;4;1;10/09/2024;5.95
130;4;2;10/09/2024;6.49
131;4;3;10/09/2024;4.29
132;4;4;10/09/2024;5.89
133;4;1;11/09/2024;5.95
134;4;2;11/09/2024;6.49
135;4;3;11/09/2024;4.29
136;4;4;11/09/2024;5.89
137;4;1;12/09/2024;5.95
138;4;2;12/09/2024;6.49
139;4;3;12/09/2024;4.29
140;4;4;12/09/2024;5.89
141;4;1;13/09/2024;6.09
142;4;2;13/09/2024;6.29
143;4;3;13/09/2024;4.49
144;4;4;13/09/2024;6.09
145;4;1;14/09/2024;6.09
146;4;2;14/09/2024;6.29
147;4;3;14/09/2024;4.49
148;4;4;14/09/2024;6.09
149;4;1;15/09/2024;6.09
150;4;2;15/09/2024;6.29
151;4;3;15/09/2024;4.49
152;4;4;15/09/2024;6.09
153;5;1;07/09/2024;6.15
154;5;2;07/09/2024;6.49
155;5;3;07/09/2024;4.89
156;5;4;07/09/2024;5.85
157;5;1;08/09/2024;6.15
158;5;2;08/09/2024;6.49
159;5;3;08/09/2024;4.89
160;5;4;08/09/2024;5.85
161;5;1;09/09/2024;6.15
162;5;2;09/09/2024;6.49
163;5;3;09/09/2024;4.89
164;5;4;09/09/2024;5.85
165;5;1;10/09/2024;6.15
166;5;2;10/09/2024;6.49
167;5;3;10/09/2024;4.89
168;5;4;10/09/2024;5.85
169;5;1;11/09/2024;6.15
170;5;2;11/09/2024;6.49
171;5;3;11/09/2024;4.89
172;5;4;11/09/2024;5.85
173;5;1;12/09/2024;6.15
174;5;2;12/09/2024;6.49
175;5;3;12/09/2024;4.89
176;5;4;12/09/2024;5.85
177;5;1;13/09/2024;6.15
178;5;2;13/09/2024;6.49
179;5;3;13/09/2024;4.89
180;5;4;13/09/2024;5.85
181;5;1;14/09/2024;6.15
182;5;2;14/09/2024;6.49
183;5;3;14/09/2024;4.89
184;5;4;14/09/2024;5.85
185;5;1;15/09/2024;6.15
186;5;2;15/09/2024;6.49
187;5;3;15/09/2024;4.89
188;5;4;15/09/2024;5.85
189;5;1;16/09/2024;6.15
190;5;2;16/09/2024;6.49
191;5;3;16/09/2024;4.89
192;5;4;16/09/2024;5.85
193;6;1;07/09/2024;6.29
194;6;2;07/09/2024;6.29
195;6;3;07/09/2024;4.69
196;6;4;07/09/2024;6.09
197;6;1;08/09/2024;6.29
198;6;2;08/09/2024;6.29
199;6;3;08/09/2024;4.69
200;6;4;08/09/2024;6.09
201;6;1;09/09/2024;6.29
202;6;2;09/09/2024;6.29
203;6;3;09/09/2024;4.69
204;6;4;09/09/2024;6.09
205;6;1;10/09/2024;6.29
206;6;2;10/09/2024;6.29
207;6;3;10/09/2024;4.69
208;6;4;10/09/2024;6.09
209;6;1;11/09/2024;6.29
210;6;2;11/09/2024;6.29
211;6;3;11/09/2024;4.69
212;6;4;11/09/2024;6.09
213;6;1;12/09/2024;6.29
214;6;2;12/09/2024;6.29
215;6;3;12/09/2024;4.69
216;6;4;12/09/2024;6.09
217;6;1;13/09/2024;6.29
218;6;2;13/09/2024;6.29
219;6;3;13/09/2024;4.69
220;6;4;13/09/2024;6.09
221;6;1;14/09/2024;6.29
222;6;2;14/09/2024;6.29
223;6;3;14/09/2024;4.69
224;6;4;14/09/2024;6.09
225;6;1;15/09/2024;6.29
226;6;2;15/09/2024;6.29
227;6;3;15/09/2024;4.69
228;6;4;15/09/2024;6.09
229;6;1;16/09/2024;6.29
230;6;2;16/09/2024;6.29
231;6;3;16/09/2024;4.69
232;6;4;16/09/2024;6.09
